"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"f6631",0.145976505934695,7.90826926566137,5.04161215031613,0.000177282087459894,0.000605790610817604,0.0898330504811078
"f2769",0.0713091265521548,12.5110868478686,5.039721238997,0.000177905171261291,0.000607568757511856,0.0862165332998472
"f2820",-0.0786868598690891,11.0607479314036,-5.03734782897789,0.000178690461605463,0.000609898488399489,0.0816766330550518
"f3430",-0.0718301529182437,11.6469029488149,-5.0318148617002,0.000180535145396375,0.000615839322387289,0.0710906320264062
"f3735",0.0990461901620439,11.9941656053299,5.03104900699908,0.00018079203195564,0.000616360155053377,0.0696250841537172
"f348",-0.0621153021067204,15.2911025856875,-5.02935415484903,0.000181361875732607,0.000617669145376989,0.0663815641265879
"f1655",0.182232809381519,11.3822562788601,5.02928598099786,0.000181384836098027,0.000617669145376989,0.0662510898508701
"f3281",0.18451361590194,8.67824295641254,5.02358221190446,0.000183316532324455,0.000623887968181329,0.0553331188284263
"f597",-0.0626184689624001,13.6790738604982,-5.02094367531171,0.000184217330482205,0.000626593162623487,0.0502812925874343
"f3394",-0.120705270975456,10.1233707846148,-5.02017283538781,0.000184481361143971,0.00062713060411873,0.0488052718727081
"f2278",0.0936459701248218,14.7081082116784,5.01943497470928,0.000184734463217413,0.000627630298639286,0.0473923386956558
"f3017",-0.10389228054011,12.5604992412557,-5.01479689098459,0.000186333692198459,0.000632700223509692,0.0385094648401108
"f4014",-0.120195721057648,10.388210735278,-5.01288705905165,0.000186996375571227,0.000634586093805972,0.0348510548541032
"f3613",-0.0927286815593238,10.6113592474858,-5.01062309110439,0.000187785105214947,0.000636897303524319,0.0305137505065645
"f6398",0.160032798442871,7.48910012213505,5.00432671565529,0.000189996846402249,0.000644029424910775,0.0184481887482661
"f3348",-0.196731164563417,9.89837199119179,-5.00384308683096,0.000190167844743514,0.000644239863492488,0.0175212437233689
"f3207",-0.100426171812991,11.4609079650457,-4.99692310259956,0.00019263211653022,0.000652214636105466,0.00425526189898928
"f2400",0.105300159616769,11.5056516778713,4.99207219501862,0.000194379288042115,0.000657740896512692,-0.00504733212200303
"f4174",0.176737194939998,11.1991904289516,4.99177545016653,0.000194486699577464,0.000657740896512692,-0.00561648420627403
"f5425",0.135551021166995,8.47793465861361,4.9907895655197,0.000194843998209173,0.000658572713947004,-0.0075074653141538
"f105",0.0736534903329016,13.9271083187093,4.9891011093071,0.00019545750004608,0.000660269053553719,-0.0107462653057118
"f5658",0.160675940373373,8.76707292904728,4.98799945081404,0.000195858867568435,0.000661247261225623,-0.0128596374231806
"f4457",0.121053896473356,10.0376088937875,4.98342770258731,0.000197533643915032,0.000666521108817691,-0.0216312954030116
"f771",0.0649295436355626,13.9427668870405,4.98296723171723,0.000197703149775595,0.000666712731426822,-0.0225149121263986
"f3419",0.0847804303238782,11.9933497296784,4.97825560323911,0.000199446254754643,0.00067220774750639,-0.0315575850946281
"f742",-0.114191642122465,12.2168769877449,-4.97787588927138,0.00019958742475508,0.000672300465504727,-0.0322864471217166
"f1416",-0.0909711060302616,13.8116417302947,-4.97314651708234,0.000201354412309345,0.000677866447814328,-0.0413658091994185
"f604",-0.0533091794397507,14.5558614356022,-4.96832092986634,0.000203174063443153,0.000683603290822666,-0.0506323964458177
"f6330",-0.365263934188941,6.42135493825899,-4.96686674267606,0.000203725748832233,0.000685069814862229,-0.0534253727810468
"f2371",-0.0939564756550997,12.8145390065768,-4.96503395232762,0.000204423279447832,0.00068702482837155,-0.0569458386307717
"f846",-0.0575408949350518,14.1049821283316,-4.96426921223739,0.000204715058543687,0.000687614748032885,-0.0584148769160739
"f3619",-0.0692794747865246,12.6641032725834,-4.96369923914513,0.000204932806846795,0.000687955478149146,-0.0595098161010741
