"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"f6893",0.223090281845293,8.29986757996379,0.799860153927044,0.437086208170919,0.493718165206289,-7.57514278671358
"f6540",0.03491104455399,8.05183547034392,0.799788660615504,0.437126294367766,0.493718165206289,-7.57520128820185
"f2554",-0.0106895247082619,12.7546065326969,-0.798464738891159,0.437869039702049,0.494301403441389,-7.57628376292488
"f3639",-0.0230512741542093,10.2632967216289,-0.798456143533539,0.437873864491904,0.494301403441389,-7.57629078537477
"f5774",-0.0498130249487749,6.51191419412823,-0.798421373881658,0.437893381915956,0.494301403441389,-7.57631919164869
"f3887",0.0367890961729458,7.46602099693272,0.797693750337026,0.438301949877002,0.494668199489118,-7.57691338976003
"f313",0.0088906569521896,14.9020224935719,0.796462130857199,0.438994070553021,0.495342437393139,-7.57791803756865
"f6219",-0.0569836215636679,5.91495321334452,-0.796332698313519,0.439066846872735,0.495342437393139,-7.5780235350049
"f5582",0.0636660615668205,9.40090005572531,0.795256348588632,0.439672346160175,0.495930954907978,-7.57890023561118
"f3643",-0.0180965680493745,9.72619957309993,-0.794354657926566,0.440180000315232,0.496408904073326,-7.57963384000087
"f5002",0.0305290721730636,8.08744858375523,0.792942643062664,0.440975717407036,0.497211469398135,-7.58078110931731
"f4342",0.0158097550348337,11.4737129849173,0.79057165105717,0.44231390540912,0.498615345439827,-7.58270335368672
"f3136",-0.015984053150353,10.0929702674013,-0.790438016576002,0.442389405387695,0.498615345439827,-7.58281153898432
"f755",0.0193250862728291,13.5228826622954,0.790114733713824,0.44257208555565,0.498726211861625,-7.58307318706275
"f6900",0.0475590568771986,7.46052620332778,0.789274507874652,0.443047102877848,0.499166402575709,-7.5837527634427
"f6425",-0.0418199639904637,7.6982218577947,-0.789112553103985,0.443138700324387,0.499174521504237,-7.58388367673427
"f404",-0.0156289028081638,13.287815140681,-0.788762596240793,0.443336667916759,0.4993024354013,-7.58416647424987
"f219",-0.00771574481007065,15.7984463889585,-0.787956026345436,0.443793151060773,0.499721395112216,-7.58481782007526
"f5302",-0.0403841314609794,7.81493716246541,-0.787303813682525,0.444162492483707,0.500042090415136,-7.58534406858728
