index	CD_1	CD_2	CD_3	Ctrl_1	Ctrl_2	Ctrl_3
hp1923	210.2	402.9	512.9	419	371.9	500.3
hp1924	1853.9	3050.6	4478.9	4152.5	2746.9	3974.3
hp1925	255.7	1146.2	991.7	770.9	1137.5	934.7
hp1926	25.6	56.3	75.6	51.3	59.3	72.6
hp1927	1796.3	7174.6	11004.2	8880.7	6560.5	7922.2
hp1928	3908.2	12635.5	14889.1	11550.1	12228.3	12875.3
hp1929	32.1	60.1	96.4	76.7	68.3	70.5
hp1930	53.8	142.7	194.3	149.1	143.8	159.8
hp1931	13.3	33	47.8	41.1	31.2	37.2
hp1932	43.9	109.2	132.7	128.6	90.4	115.1
hp1933	467	1265	1150.2	1140.1	1051.7	1120.7
hp1934	771.6	1412.9	1505	1383.4	1266.4	1484.1
hp1935	260.2	458.8	592	434.2	499.4	553.2
hp1936	305.3	813.1	976.9	772.3	772.8	882.9
hp1937	109.4	235.9	264	248.6	192.2	261.6
hp1938	123.1	255.6	386.1	310	259.8	309.8
hp1939	3174.4	4970.3	7932.5	8558.4	4524.4	6121.7
hp1940	77.8	116.8	136.3	115.3	124.4	123.6
hp1941	3816.1	6401.3	7330.9	7122.6	5286.8	7505.1
hp1942	197.8	267.8	564	212.6	254.2	281.5
hp1943	2243.4	4120.6	4325.4	3671.4	3940	4363.2
hp1944	2882	7305.1	8425.1	7059.2	6083.6	8582.1
hp1945	160860.5	42745	67654.9	85916	38265.6	57231.3
hp1946	127.9	179.6	179.4	119.3	289.4	212.6
hp1947	5568.5	14721.6	18333	15201	13818.8	15678.8
hp1948	374.6	976.8	1141.1	800.5	1018.9	1088.3
hp1949	114.6	165	211	174.6	168.8	198.8
hp1950	31.9	133.9	113.6	91.4	109.2	128.9
hp1951	179.8	407.5	533.3	427.8	373.1	496
hp1952	3152.6	10613.1	12493	11263.2	8657	10897.9
hp1953	794.6	2047.2	2781.1	2096.5	1973.8	2455.1
hp1954	729.9	1582.7	1860.7	1602.8	1513.5	1642.6
hp1955	2698.4	8007.7	8772.5	7160.9	6916.6	8626.3
hp1956	1098.4	1787.3	2073.7	1859	1617.8	2060.8
hp1957	53.7	77.8	86.6	85.2	68.2	86.4
hp1958	405.5	1096.2	1477	1279.3	877.2	1374
hp1959	203.1	415.6	524.4	426.5	404.6	472.4
hp1960	159.3	234	307.7	243.6	170.1	178
hp1961	1671.2	5427.6	6618.4	4443.2	4838.2	7106
hp1962	157.9	187.1	263.7	165.6	163.5	205.3
hp1963	184.8	414.8	456.6	384.6	389.9	430.5
hp1965	135.3	257	309.8	234.8	245.6	324.4
hp1966	4169.1	36196.7	39479	19246.4	33199.7	46144.4
hp1967	1365.7	2401.8	2997.4	2506.8	2233.1	2918.2
hp1968	888.3	1297.4	1798.9	1293.6	1377.9	1847.6
hp1969	456.7	805.6	961.1	811.1	781.1	901.8
hp1970	62.2	83.5	108	62.4	68.3	90
hp1971	21	44.4	50.8	39.7	44.4	48.3
hp1972	7.9	16.9	24.5	12.1	29.2	20.9
hp1973	128.3	352.1	438.5	401.4	304.3	364.1
hp1974	1102.4	1580.7	2416.7	1354.4	1270.5	1506.9
hp1975	15.6	31.5	37.4	29.9	32.9	32.9
hp1976	38	149.8	200.8	155.4	114.8	193.6
hp1977	2661.4	7753.2	14302.7	12997.7	6876.1	9632.8
hp1978	7376.3	25512.7	31497.5	25856.5	20945.6	28766.5
hp1979	5.4	9.6	19.4	11.1	11.9	16.9
hp1980	276	580.3	704	586.7	568.6	618.8
hp1981	361.7	819.9	724.9	623.1	733.1	813.9
hp1982	1003.1	1663	2175.2	1859.6	1647	1920.6
hp1983	482.3	1031.3	1317.1	1093.6	989.9	1149.2
hp1984	79.3	178.1	222.7	174.6	170	206.4
hp1985	371.9	825.7	907.3	670.5	816.4	938
hp1986	1421.8	4376.9	4544.3	3525	3872.6	4664.4
hp1987	240.6	319.7	386.8	238.7	290	313.3
hp1988	444.7	554.8	668	580	555.7	662.6
hp1989	4987.8	20910.4	26261.2	21622	17106.1	22294.3
hp1990	1504.5	5561.2	6692.9	5289.5	4685.7	6114.8
hp1991	785.7	1134.3	1425	1154	1074.7	1529.7
hp1992	14067.3	31611.6	38351.7	32273	27987.9	36347.7
hp1993	78.5	183.5	286.2	208.2	167.9	267.8
hp1994	1338.5	2644.2	2690.7	2727.2	2221	2568.6
hp1995	147.9	325.5	375.3	310	286.8	377.6
hp1996	949.1	2299.3	2828.4	2948	1968.3	2194.1
hp1997	101.3	235.3	331.3	138.4	392.6	373.9
hp1998	34	74.3	87.6	72.9	61.3	93.7
hp1999	6543.5	10442	11564.1	10735.6	8989.2	12084.8
hp2000	394.2	238.3	289.4	857.9	214.3	354.9
hp2001	679.4	1446	1709.9	1584.3	1147.6	1720.5
hp2002	242.3	522.7	719	581.7	471.2	663.4
hp2003	230.4	682.6	769.7	514.4	705.5	758.8
hp2004	125.4	225.6	303.4	272.8	203.2	271.6
hp2005	10.1	20.3	19.9	15.2	14.3	11.4
hp2006	218.5	431.2	540.9	414.3	421.5	521.2
hp2007	393.4	787.5	896.2	614.5	838.7	951.8
hp2008	64.6	115.9	125.9	100.8	125.6	116.7
hp2009	305.1	1083.5	1229.2	950.4	994.9	1096.2
hp2010	2474.5	5144.2	6153.3	5349.3	4428.9	6003.2
hp2011	94.3	210.2	320.7	253	202.4	265.6
hp2012	1293.5	3553.9	3565.8	3050.5	3082.9	3549.6
hp2013	708.5	1802.3	2173.4	1645.8	1686.7	2082.1
hp2014	64.3	118.1	110.7	124.1	97.4	105.3
hp2015	1165.2	2382.9	2396.5	1919.2	2188.1	2660.6
hp2016	2451.2	5021.3	6323.5	5003.5	4765.5	5973.6
hp2017	46.5	52.4	55.3	48.6	51.3	68
hp2018	18898.5	1820.2	2294.2	3370.4	1748.9	2758.7
hp2019	2977.9	6033	5870.5	4145.8	7285.6	6057.4
hp2020	514.7	1427.4	1593.6	1095.2	1404.2	1643.6
hp2021	115.8	152.4	177	115.5	247.4	179.8
hp2022	559.9	1750.6	2044.8	1605.3	1572.6	1872.2
hp2023	838.4	3217.9	3920.5	2397.6	2828.3	4426.5
hp2024	22.7	71	102.4	75.2	66.5	85.5
hp2025	14.7	26.7	37.3	23.7	32.8	34
hp2026	385.2	788.5	1038.6	1010.6	676.7	872.9
hp2027	109	527.8	699.8	557	450.6	538.6
hp2028	352.4	968.7	1308.3	896.1	991.2	1157
hp2029	792.6	2784.2	3616.6	2756.4	2396.3	3231.3
hp2030	135.1	376.3	509.5	430.2	307.3	459.9
hp2031	264.6	498.9	610.4	516.4	467.4	567
