index	CD_1	CD_2	CD_3	Ctrl_1	Ctrl_2	Ctrl_3
hp1502	3.7	12.5	19.4	9.2	12.1	17
hp1503	27.1	54.8	131.5	28	46.2	72.5
hp1504	9.2	76.3	117.3	7.3	44.2	62.7
hp1505	12.4	66.3	47.3	9.4	38	42.1
hp1506	4.4	14.1	16.6	9.1	14.3	14.7
hp1507	3.9	22.9	9	7.3	18.2	13.3
hp1508	3.4	9.6	13.9	4.1	7.5	7.7
hp1509	7.7	32.3	40.8	28.4	23	33.4
hp1511	7	53	52.2	28.7	42.4	42.4
hp1512	42.7	80.1	94	53.3	66.4	63.7
hp1513	232.1	54.7	68.7	65.7	71.6	96.2
hp1514	2.4	4.9	5.1	3.5	6.2	4.1
hp1515	2.5	16.7	14.8	9.3	12	13.3
hp1516	10.3	22.5	34.2	22.6	22.5	26
hp1517	10	32.8	38.1	13.6	27.1	17.8
hp1518	103.1	134.2	136.5	132	114.2	146.3
hp1519	11.4	28.7	32.3	18.3	18.8	19.2
hp1521	7.4	32.9	30.4	18.9	24.9	31.8
hp1522	12.9	65.7	61.5	36.8	51.1	59.9
hp1523	6	21.3	17.5	7	12.1	14.4
hp1524	7.2	13.9	17.4	10.6	14.3	17.2
